iter	RMSE
0	21.60019041
1	20.958137
2	20.37944776
3	19.87446813
4	19.37365614
5	18.86429395
6	18.43289487
7	17.97784024
8	17.56625051
9	17.16888802
10	16.79081396
11	16.44542691
12	16.08667252
13	15.76903524
14	15.47727489
15	15.21148316
16	14.96971999
17	14.75513494
18	14.52519324
19	14.30533469
20	14.10316537
21	13.93123775
22	13.74743872
23	13.57925463
24	13.41724587
25	13.27674399
26	13.15312736
27	13.02513399
28	12.91091149
29	12.79707126
30	12.70202931
31	12.61152836
32	12.52208223
33	12.4521354
34	12.37827884
35	12.32978857
36	12.25019668
37	12.17807057
38	12.12432994
39	12.06214494
40	12.01717936
41	11.9804211
42	11.93786305
43	11.88474299
44	11.82718828
45	11.77789542
46	11.71314203
47	11.66558997
48	11.62169267
49	11.57225433
50	11.53073646
51	11.48745266
52	11.46047569
53	11.41369969
54	11.37637664
55	11.3449899
56	11.31521987
57	11.27736331
58	11.2467848
59	11.21323736
60	11.19826676
61	11.17400123
62	11.1571238
63	11.12176413
64	11.10433274
65	11.07617464
66	11.05312572
67	11.02440556
68	11.00004223
69	10.97375741
70	10.95324121
71	10.931839
72	10.91446074
73	10.88791789
74	10.86637883
75	10.85433169
76	10.83731144
77	10.82446398
78	10.81398691
79	10.79916524
80	10.77452701
81	10.75273041
82	10.73528209
83	10.71965756
84	10.70914204
85	10.69274408
86	10.67963922
87	10.67436545
88	10.65822583
89	10.6486148
90	10.62673408
91	10.61503229
92	10.60534795
93	10.5983723
94	10.58876851
95	10.57024338
96	10.55350154
97	10.54436601
98	10.53754555
99	10.52807495
